Objetivo;Estudiante;Entrega;Correccion;Incompleto
0; aacosa34;2022-09-17T21:45:50+02:00;2022-09-20T12:14:32+02:00;Completo
0; pabloFernandezRR;2022-09-30T11:24:46+02:00;2022-10-07T17:11:53+02:00;Completo
0; LuisMart7;2022-09-21T12:44:29+02:00;2022-10-10T17:19:32+02:00;Completo
0; mariavallejo20;2022-09-16T13:36:37+02:00;2022-09-25T10:04:32+02:00;Completo
0; amogue73;2022-09-15T17:28:51+02:00;2022-09-15T17:43:21+02:00;Completo
0; jmramirezG;2022-09-16T18:05:08+02:00;2022-09-21T17:52:10+02:00;Completo
0; dmonjasm;2022-09-21T10:47:11+02:00;2022-09-22T11:24:43+02:00;Completo
0; crdelapuente;2022-09-20T19:39:17+02:00;2022-09-29T11:50:48+02:00;Completo
0; M;2022-09-16T09:37:38+02:00;2022-09-21T10:02:05+02:00;Completo
0; iscoct;2022-09-16T17:14:39+02:00;2022-09-17T18:35:50+02:00;Completo
0; ottoeprz;2022-09-21T16:20:57+02:00;2022-10-18T20:08:03+02:00;Completo
0; alvarogaro;2022-09-20T12:41:16+02:00;2022-09-23T07:40:19+02:00;Completo
0; manujurado1;2022-09-22T09:52:20+02:00;2022-10-10T17:28:05+02:00;Completo
0; albegadel;2022-09-25T19:46:14+02:00;2022-09-29T12:00:39+02:00;Completo
0; MarinoFajardo;2022-09-16T09:38:42+02:00;2022-09-24T10:37:43+02:00;Completo
0; JoseCarlosJC;2022-09-28T08:43:57+02:00;2022-10-10T14:50:41+02:00;Completo
0; antoniojesuus;2022-09-22T09:52:20+02:00;2022-09-28T08:43:57+02:00;Completo
0; marcosrmartin;2022-09-19T14:41:41+02:00;2022-09-29T21:09:16+02:00;Completo
0; MauronMP;2022-09-16T15:32:20+02:00;2022-09-21T10:47:11+02:00;Completo
0; JesusJMMA;2022-09-22T19:26:42+02:00;2022-09-24T10:45:13+02:00;Completo
0; fjgallardo00;2022-09-16T15:32:33+02:00;2022-09-17T11:57:23+02:00;Completo
0; dfolcha;2022-10-17T13:14:36+02:00;2022-10-17T13:16:30+02:00;Completo
0; Gundisalvus2;2022-09-22T12:49:45+02:00;2022-09-28T08:43:57+02:00;Completo
0; adrianlc3;2022-09-28T08:43:57+02:00;;Completo
0; SixtoCoca;2022-09-27T21:40:19+02:00;2022-10-13T07:15:01+02:00;Completo
0; pablo1mc315;2022-09-16T19:23:17+02:00;2022-09-22T09:52:20+02:00;Completo
0; arsa-dev;2022-09-16T09:26:43+02:00;2022-09-19T14:41:41+02:00;Completo
0; fjromeero;2022-09-18T21:38:13+02:00;2022-09-30T13:51:38+02:00;Completo
0; D;2022-09-16T17:13:12+02:00;;Completo
0; PabloSpiegel;2022-09-15T00:46:47+02:00;2022-09-22T09:52:20+02:00;Completo
0; vdeq79;2022-09-19T14:41:41+02:00;2022-09-26T12:27:02+02:00;Completo
0; santim15;2022-09-22T09:52:20+02:00;2022-09-28T08:43:57+02:00;Completo
0; danielsp13;2022-09-19T14:41:41+02:00;2022-10-05T11:30:11+02:00;Completo
0; Davidmd00;2022-09-20T11:58:23+02:00;2022-09-28T08:43:57+02:00;Completo
0; PacoCP5;2022-09-21T09:04:08+02:00;2022-09-21T10:30:34+02:00;Completo
0; ignaciotitos;2022-09-16T15:32:20+02:00;2022-09-22T09:52:20+02:00;Completo
0; RafaelT00;2022-09-16T10:16:27+02:00;2022-09-16T13:48:24+02:00;Completo
0; pedromarting3;2022-09-16T19:52:56+02:00;2022-09-22T17:29:27+02:00;Completo
0; martahuetem;2022-09-16T19:40:14+02:00;2022-09-29T07:16:48+02:00;Completo
0; joseantonio2001;2022-09-16T10:22:44+02:00;2022-09-24T10:35:28+02:00;Completo
0; Juanmihdz;2022-09-19T14:24:55+02:00;;Completo
0; delightfulagony;2022-09-15T12:02:19+02:00;2022-09-16T09:38:42+02:00;Completo
0; luistf24;2022-09-19T14:41:41+02:00;2022-09-29T11:49:28+02:00;Completo
0; lovelace9981;2022-09-15T17:28:51+02:00;2022-09-21T09:48:01+02:00;Completo
0; Carlos-SE;2022-09-16T10:25:34+02:00;2022-09-24T10:39:52+02:00;Completo
1; aacosa34;2022-09-23T09:35:42+02:00;2022-10-13T13:09:55+02:00;Completo
1; MarinoFajardo;2022-10-06T12:56:29+02:00;2022-10-13T13:09:55+02:00;Completo
1; fjromeero;2022-10-10T20:56:45+02:00;;Completo
1; marcosrmartin;2022-09-29T21:09:16+02:00;2022-10-06T11:47:11+02:00;Completo
1; fjgallardo00;2022-10-14T09:53:52+02:00;;Completo
1; vdeq79;2022-10-03T19:08:04+02:00;2022-10-08T18:41:10+02:00;Completo
1; RafaelT00;2022-09-29T12:27:00+02:00;2022-09-29T20:32:53+02:00;Completo
1; dmonjasm;2022-09-29T16:46:08+02:00;2022-10-06T09:42:30+02:00;Completo
1; delightfulagony;2022-09-21T18:27:36+02:00;2022-09-25T19:51:53+02:00;Completo
1; LuisMart7;2022-10-14T13:32:52+02:00;;Completo
1; ignaciotitos;2022-10-14T13:32:48+02:00;;Completo
1; MauronMP;2022-09-22T21:13:35+02:00;2022-09-30T13:43:59+02:00;Completo
1; pablo1mc315;2022-10-03T18:53:25+02:00;2022-10-06T14:00:57+02:00;Completo
1; PacoCP5;2022-10-06T14:01:32+02:00;2022-10-13T13:26:57+02:00;Completo
1; Carlos-SE;2022-09-29T16:39:35+02:00;;Completo
1; mariavallejo20;2022-10-04T00:10:02+02:00;2022-10-13T20:23:57+02:00;Completo
1; jmramirezG;2022-09-26T13:28:37+02:00;2022-09-28T12:06:05+02:00;Completo
1; albegadel;2022-10-07T09:19:24+02:00;;Completo
1; joseantonio2001;2022-10-03T10:29:09+02:00;2022-10-13T14:01:31+02:00;Completo
1; JaimeGM96;2022-09-23T20:15:05+02:00;2022-10-03T19:50:19+02:00;Completo
1; lovelace9981;2022-09-22T18:06:56+02:00;;Completo
