"Objetivo" "Mediana"
"1" "0" 0.738351521164021
"2" "1" 2.37937748015873
"3" "2" 5.69105324074074
"4" "3" 7.76203951719577
"5" "4" 9.19182043650794
"6" "5" 10.3333267195767
"7" "6" 12.0792146164021
"8" "7" 13.6813376322751
"9" "8" 14.3337268518519
"10" "9" 16.7843625992063
