Marca temporal,¿Por qué has elegido la asignatura?,Conocimientos previos,"Los conocimientos que mencionas en las respuestas anteriores, ¿los has adquirido principalmente por tu cuenta o en prácticas (curriculares o no) o en alguna otra asignatura?",¿Qué esperas aprender en la asignatura?
12/09/2023 13:37:06,"Amigos o conocidos la han elegido, Temática","git y github, Python, Ruby",En otras asignaturas,Mejorar mis conocimientos sobre git
12/09/2023 13:40:32,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido, Temática","git y github, Python, Ruby, Herramientas de construcción: make, grunt, webpack,",En otras asignaturas,Espero aprender sobre git y Docker
13/09/2023 9:31:05,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Javascript/Node.js/TypeScript/Deno, Python, Ruby",Por mi cuenta o en prácticas,Aprender realmente lo que es Docker/Contenedores y cómo utilizarlo. Aprender a utilizar las herramientas de git al siguiente nivel ya que considero que tengo un nivel básico o muy básico. Y por ultimo todas las herramientas/habilidades que no conozco conocerlas y aprender a desplegar/implementar proyectos con estas herramientas/habiliadades.
13/09/2023 10:28:37,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Gestión de contenedores con Docker o Podman, Python, Ruby, Herramientas de construcción: make, grunt, webpack,, Herramientas de integración continua/despliegue continuo, Desarrollo dirigido por dominio",Por mi cuenta o en prácticas,"Entiendo que la asignatura se centra en el desarrollo de software como producto final y en todas sus fases.

Me gustarían encontrar formas profesionales de dar soluciones a problemas que puedan verse beneficiados del uso de ordenadores e Internet."
13/09/2023 11:42:11,"Temática, Utilidad para el resto de las asignaturas o mi trabajo, Me interesaría aprender todos los conceptos de la asignatura","Python, Ruby",En otras asignaturas,"Aprender las metodologías más actuales y actualizadas, me interesa mucho de cara a la vida laboral."
13/09/2023 12:06:32,"Profesor, Horario","git y github, Python, Ruby, Herramientas de construcción: make, grunt, webpack,",Por mi cuenta o en prácticas,Espero aprender cómo diseñar/gestionar un proyecto y poder desplegarlo en algún servidor o contenedor
13/09/2023 13:21:23,"No la he elegido, es obligatoria","git y github, Python, Ruby, Herramientas de construcción: make, grunt, webpack,",En otras asignaturas,Entender y aumentar conocimientos sobre como funciona la arquitectura de ordenadores
13/09/2023 14:38:55,"No la he elegido, es obligatoria, Horario",Python,Por mi cuenta o en prácticas,"En la asignatura hay dos contenidos que me interesan, uno es el cloud computing, ya que me interesa el montaje de servicios en la nube. El otro tema que me interesa son los contenedores, que a pesar de haberlos estudiado y utilizado mínimamente en alguna práctica, no hemos experimentado mucho con ello. Espero también aprender a usar debidamente distintas herramientas como GitHub, que aunque a estas alturas debería haberlo usado bastante, nunca se ha utilizado en profundidad como plataforma en ninguna asignatura. "
13/09/2023 15:30:06,Temática,"git y github, Python, Ruby, Herramientas de construcción: make, grunt, webpack,",En otras asignaturas,A gestionar máquinas virtuales y diseñar alguna infraestructura virtual 
13/09/2023 18:36:06,"No la he elegido, es obligatoria, Horario, Amigos o conocidos la han elegido","git y github, Python, Ruby",En otras asignaturas,Una idea general de lo que ocurre en el lado del servidor. También me gustaría adquirir la capacidad de desenvolverme de forma autónoma una vez cursada la asignatura.
13/09/2023 19:19:38,Amigos o conocidos la han elegido,"git y github, Ruby",En otras asignaturas,Aprender usar la nube y la virtualizacion
14/09/2023 8:38:44,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Python, Microservicios/microframeworks REST",Por mi cuenta o en prácticas,Realizar correctamente un proyecto con los objetivos de la asignatura
14/09/2023 8:42:02,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Gestión de contenedores con Docker o Podman, Javascript/Node.js/TypeScript/Deno, Python, Herramientas de construcción: make, grunt, webpack,, Microservicios/microframeworks REST, Desarrollo ágil",Por mi cuenta o en prácticas,Me conformo con tener el mural de github la mitad de lleno que el suyo :)
18/09/2023 20:18:11,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Javascript/Node.js/TypeScript/Deno, Python, Herramientas de construcción: make, grunt, webpack,, Desarrollo ágil",Por mi cuenta o en prácticas,A grandes rasgos como trabajar con sistemas de contenedores. Como hacer un desarrollo y despliegue con estas arquitecturas y a gestionarlo con CI/CD.
19/09/2023 21:25:28,Temática,"git y github, Python, Ruby",Por mi cuenta o en prácticas,el proceso de desarrollo y despliegue de una aplicación
