Conocimientos adquiridos
git y github, Desarrollo basado en test, Uso de recursos en nube: Heroku + Openshift + Azure
git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Uso de recursos en nube: Heroku + Openshift + Azure, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure, Ruby, Python o Perl, Herramientas de despliegue: flightplan o similares, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Javascript, Uso de recursos en nube: Heroku + Openshift + Azure
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Uso de recursos en nube: Heroku + Openshift + Azure, Herramientas de despliegue: flightplan o similares, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure, Ruby, Python o Perl, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure
git y github, Desarrollo basado en test, Uso de recursos en nube: Heroku + Openshift + Azure
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure, Ruby, Python o Perl
git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure, Herramientas de despliegue: flightplan o similares, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Uso de recursos en nube: Heroku + Openshift + Azure, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Uso de recursos en nube: Heroku + Openshift + Azure, Ruby, Python o Perl, Herramientas de despliegue: flightplan o similares, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure, Ruby, Python o Perl, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Uso de recursos en nube: Heroku + Openshift + Azure, Ruby, Python o Perl, Herramientas de despliegue: flightplan o similares, Herramientas de construcción: gulp + grunt + Makefile
git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript, Uso de recursos en nube: Heroku + Openshift + Azure, Herramientas de construcción: gulp + grunt + Makefile
git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Ruby, Python o Perl, Herramientas de despliegue: flightplan o similares
